run_id,timestamp,platform_tag,model,model_path,model_size_mb,test_id,source,device_arg,device_name,jetson_model,os,python_version,torch_version,torch_cuda_version,ultralytics_version,opencv_version,imgsz,conf,iou,capture_width,capture_height,capture_reported_fps,duration_s,processed_frames,avg_fps_e2e,median_fps_e2e,p05_fps_e2e,mean_preprocess_ms,mean_inference_ms,median_inference_ms,p95_inference_ms,mean_postprocess_ms,total_detections,fire_detections,smoke_detections,frames_with_any_detection,frames_with_fire,frames_with_smoke,any_detection_frame_rate_pct,fire_frame_rate_pct,smoke_frame_rate_pct,mean_detection_confidence,max_detection_confidence
JETSON_YOLOv8-S_test01_20260810_223806,20260810_223806,JETSON,YOLOv8-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov8s_best.pt,21.464,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.06,441,7.4661,7.4563,6.3686,4.7097,46.3589,50.2024,52.1584,5.0554,684,586,98,341,339,61,77.324,76.871,13.832,0.4765,0.9046
JETSON_YOLOv9-S_test01_20260810_224540,20260810_224540,JETSON,YOLOv9-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov9s_best.pt,14.512,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.033,442,7.4245,7.4978,6.8266,3.6649,66.2859,65.1217,72.2498,3.6925,676,557,119,328,308,103,74.208,69.683,23.303,0.4474,0.9145
JETSON_YOLO11-S_test01_20260810_224951,20260810_224951,JETSON,YOLO11-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo11s_best.pt,18.278,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.093,442,7.4539,7.4392,6.5355,4.2941,47.4348,49.623,53.1554,4.5176,709,607,102,340,336,74,76.923,76.018,16.742,0.4239,0.8656
JETSON_YOLO26-S_test01_20260810_225242,20260810_225242,JETSON,YOLO26-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo26s_best.pt,19.36,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.098,441,7.426,7.446,6.6957,4.1161,49.6998,49.7518,54.7719,1.7053,397,331,66,268,260,53,60.771,58.957,12.018,0.5302,0.9202
JETSON_YOLOv8-S_test01_20260810_225602,20260810_225602,JETSON,YOLOv8-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov8s_best.pt,21.464,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.028,442,7.5464,7.4447,6.4737,4.887,48.9436,50.7954,52.1456,3.826,124,0,124,111,0,111,25.113,0.0,25.113,0.3467,0.8652
JETSON_YOLOv9-S_test01_20260810_225744,20260810_225744,JETSON,YOLOv9-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov9s_best.pt,14.512,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.028,446,7.4594,7.4957,6.8898,3.6073,67.3169,66.0574,73.1766,2.7419,147,8,139,107,8,102,23.991,1.794,22.87,0.3483,0.77
JETSON_YOLO11-S_test01_20260810_230004,20260810_230004,JETSON,YOLO11-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo11s_best.pt,18.278,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.17,441,7.4426,7.4645,6.564,4.331,47.5781,49.6434,52.9682,3.5734,255,9,246,169,8,163,38.322,1.814,36.961,0.4167,0.8368
JETSON_YOLO26-S_test01_20260810_230148,20260810_230148,JETSON,YOLO26-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo26s_best.pt,19.36,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.073,445,7.4585,7.5355,6.7435,4.1887,50.1724,50.5222,54.739,1.6663,266,1,265,192,1,191,43.146,0.225,42.921,0.4989,0.8847
JETSON_YOLOv8-S_test01_20260810_230534,20260810_230534,JETSON,YOLOv8-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov8s_best.pt,21.464,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.128,442,7.5275,7.4385,6.4131,4.8477,48.8692,50.7813,52.1998,3.7574,246,147,99,107,46,92,24.208,10.407,20.814,0.4498,0.8526
JETSON_YOLOv9-S_test01_20260810_230725,20260810_230725,JETSON,YOLOv9-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov9s_best.pt,14.512,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.127,441,7.4049,7.4432,6.8541,3.6898,67.4101,66.6548,72.5363,2.7879,187,103,84,101,49,80,22.902,11.111,18.141,0.4423,0.9322
JETSON_YOLO11-S_test01_20260810_230935,20260810_230935,JETSON,YOLO11-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo11s_best.pt,18.278,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.11,441,7.4321,7.4798,6.5803,4.3442,47.8754,49.6358,53.0607,3.3809,284,206,78,118,96,65,26.757,21.769,14.739,0.3936,0.8339
JETSON_YOLO26-S_test01_20260810_231132,20260810_231132,JETSON,YOLO26-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo26s_best.pt,19.36,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.125,443,7.4489,7.4657,6.6137,4.2083,49.893,50.5209,54.7391,1.5224,140,102,38,64,44,35,14.447,9.932,7.901,0.4864,0.8997
JETSON_YOLOv8-S_test01_20260810_231342,20260810_231342,JETSON,YOLOv8-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov8s_best.pt,21.464,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.012,442,7.5344,7.464,6.4996,4.7913,48.6914,50.2836,52.2692,3.086,0,0,0,0,0,0,0.0,0.0,0.0,,
JETSON_YOLOv9-S_test01_20260810_231536,20260810_231536,JETSON,YOLOv9-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolov9s_best.pt,14.512,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.018,440,7.4133,7.5088,6.8678,3.5855,67.2268,65.9821,73.1461,2.1579,0,0,0,0,0,0,0.0,0.0,0.0,,
JETSON_YOLO11-S_test01_20260810_231727,20260810_231727,JETSON,YOLO11-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo11s_best.pt,18.278,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.003,444,7.4534,7.5096,6.6859,4.3193,49.0205,50.347,53.0053,3.2268,53,0,53,53,0,53,11.937,0.0,11.937,0.1717,0.2174
JETSON_YOLO26-S_test01_20260810_231940,20260810_231940,JETSON,YOLO26-S,/home/mikumi/Desktop/yolo_jetson_camera_test_package/models/yolo26s_best.pt,19.36,test01,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.007,443,7.449,7.4846,6.7022,4.2182,50.2175,50.7524,54.7003,1.5039,0,0,0,0,0,0,0.0,0.0,0.0,,
