run_id,timestamp,platform_tag,model,model_path,model_size_mb,test_id,source,device_arg,device_name,os,python_version,torch_version,torch_cuda_version,ultralytics_version,nvidia_smi,imgsz,conf,iou,capture_width,capture_height,capture_reported_fps,duration_s,processed_frames,avg_fps_e2e,median_fps_e2e,p05_fps_e2e,mean_preprocess_ms,mean_inference_ms,median_inference_ms,p95_inference_ms,mean_postprocess_ms,total_detections,fire_detections,smoke_detections,frames_with_any_detection,frames_with_fire,frames_with_smoke,any_detection_frame_rate_pct,fire_frame_rate_pct,smoke_frame_rate_pct,mean_detection_confidence,max_detection_confidence
PC_GPU_YOLOv8-S_negative01_20260808_194436,20260808_194436,PC_GPU,YOLOv8-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolov8s_best.pt,21.464,negative01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.029,446,7.6416,7.4974,6.3412,2.8339,34.3849,30.2627,61.3742,1.8337,301,0,301,301,0,301,67.489,0.0,67.489,0.1807,0.2659
PC_GPU_YOLOv9-S_negative01_20260808_194641,20260808_194641,PC_GPU,YOLOv9-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolov9s_best.pt,14.512,negative01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.014,385,7.7125,7.6284,6.5229,2.5656,40.2293,39.7101,54.6012,0.8959,3,0,3,3,0,3,0.779,0.0,0.779,0.1607,0.1632
PC_GPU_YOLO11-S_negative01_20260808_194815,20260808_194815,PC_GPU,YOLO11-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolo11s_best.pt,18.278,negative01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.012,443,7.5644,7.5457,6.2199,2.942,34.6608,29.9283,63.6237,0.8524,0,0,0,0,0,0,0.0,0.0,0.0,,
PC_GPU_YOLO26-S_negative01_20260808_195022,20260808_195022,PC_GPU,YOLO26-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolo26s_best.pt,19.36,negative01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.021,446,7.6171,7.6349,6.2808,2.6573,34.8376,31.0462,65.1862,0.5154,0,0,0,0,0,0,0.0,0.0,0.0,,
PC_GPU_YOLOv8-S_negative01_20260808_195227,20260808_195227,PC_GPU,YOLOv8-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolov8s_best.pt,21.464,negative01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.043,445,7.6404,7.5603,6.4134,2.8839,34.6606,30.9704,61.6286,0.9241,0,0,0,0,0,0,0.0,0.0,0.0,,
PC_GPU_YOLOv9-S_negative01_20260808_195354,20260808_195354,PC_GPU,YOLOv9-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolov9s_best.pt,14.512,negative01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.023,445,7.5185,7.5954,6.6689,2.5733,41.115,39.8772,44.3594,0.8907,0,0,0,0,0,0,0.0,0.0,0.0,,
PC_GPU_YOLOv8-S_fire01_20260808_195804,20260808_195804,PC_GPU,YOLOv8-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolov8s_best.pt,21.464,fire01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.188,442,7.5324,7.5583,6.3797,2.7688,34.5709,29.9763,61.4386,1.7972,534,453,81,329,326,72,74.434,73.756,16.29,0.5407,0.8775
PC_GPU_YOLOv9-S_fire01_20260808_195959,20260808_195959,PC_GPU,YOLOv9-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolov9s_best.pt,14.512,fire01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.081,446,7.5933,7.6341,6.579,2.5809,39.1205,39.3857,44.9573,1.4813,486,443,43,293,290,42,65.695,65.022,9.417,0.5376,0.8888
PC_GPU_YOLO11-S_fire01_20260808_200131,20260808_200131,PC_GPU,YOLO11-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolo11s_best.pt,18.278,fire01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.079,445,7.5698,7.575,6.3654,2.7044,33.4861,29.5418,63.2521,1.6303,643,581,62,341,341,58,76.629,76.629,13.034,0.4789,0.8654
PC_GPU_YOLO26-S_fire01_20260808_200303,20260808_200303,PC_GPU,YOLO26-S,C:\Users\10065\Desktop\Capstone Project\YOLO_Fire_Smoke_Final_Models\models\yolo26s_best.pt,19.36,fire01,0,0,NVIDIA GeForce GTX 1660 Ti,Windows-10-10.0.26100-SP0,3.9.0,2.2.2+cu118,11.8,8.4.115,"NVIDIA GeForce GTX 1660 Ti, 531.79, 6144",640,0.15,0.7,1280,720,30.00003000003,60.126,443,7.5313,7.593,6.3428,2.7091,34.8811,31.0934,65.323,0.6213,391,357,34,273,267,32,61.625,60.271,7.223,0.6105,0.9167
